timestep,temp_air,rh,wind_dir,wind_speed,dni,dhi
374,24.0,41,250,7.2,800,225
375,23.0,38,240,4.1,722,225
376,23.0,34,240,3.4,588,216
377,23.0,31,170,2.6,353,198
378,21.5,37,170,2.8,93,122
379,20.1,44,170,2.9,0,19
380,18.6,52,70,3.1,0,0
381,17.5,55,70,3.4,0,0
382,16.4,59,70,3.8,0,0
383,15.3,63,30,4.1,0,0
384,15.5,67,30,5.5,0,0
385,15.6,72,30,6.8,0,0
386,15.8,76,20,8.2,0,0
387,15.2,78,20,7.9,0,0
388,14.6,81,20,7.5,0,0
389,14.0,83,20,7.2,0,0
390,15.0,72,10,7.7,0,37
391,17.4,69,10,7.8,195,126
392,19.7,61,10,7.9,388,215
393,22.1,53,10,8.0,600,231
394,24.4,47,10,8.1,711,248
395,26.8,41,300,8.2,787,244
396,28.0,40,280,9.3,849,213
397,28.0,37,280,9.3,851,209
398,28.0,41,280,9.8,810,212
399,28.0,37,250,10.3,734,211
400,27.6,44,250,9.2,567,224
401,27.2,46,260,8.2,338,202
402,24.8,57,260,7.5,108,116
403,22.3,69,260,6.9,0,19
404,19.9,84,170,6.2,0,0
405,19.5,85,170,5.5,0,0
406,19.0,85,170,4.8,0,0
407,18.6,85,130,4.1,0,0
408,18.1,88,130,2.7,0,0
409,17.5,90,130,1.4,0,0
410,17.0,92,0,0.0,0,0
411,15.9,95,0,0.0,0,0
412,14.7,98,0,0.0,0,0
413,13.6,100,0,0.0,0,0
414,15.3,100,0,0.0,0,35
415,17.0,100,0,0.0,173,130
416,19.6,91,0,0.0,412,197
417,20.9,77,0,1.0,613,217
418,22.1,65,0,2.1,700,253
419,23.4,54,160,3.1,782,246
420,24.0,44,160,3.1,856,207
421,24.7,48,160,3.1,847,211
422,25.4,44,130,3.1,815,208
423,25.0,45,130,3.1,733,212
424,24.4,47,130,3.1,572,222
425,23.7,49,130,3.1,341,201
426,22.3,56,130,3.1,108,116
427,20.9,64,130,3.1,0,19
428,19.4,73,90,3.1,0,0
429,19.3,73,90,4.5,0,0
430,19.1,74,90,5.8,0,0
431,19.0,74,30,7.2,0,0
432,18.5,78,30,6.9,0,0
433,18.1,83,30,6.5,0,0
